character,codepoint,total_count,train_count,validation_count,external_test_count,is_rare,is_unseen_overall,is_unseen_in_validation
0,U+0030,0,0,0,0,False,True,False
1,U+0031,0,0,0,0,False,True,False
2,U+0032,176,143,33,0,False,False,False
3,U+0033,188,149,39,0,False,False,False
4,U+0034,176,134,42,0,False,False,False
5,U+0035,204,168,36,0,False,False,False
6,U+0036,183,148,35,0,False,False,False
7,U+0037,176,140,36,0,False,False,False
8,U+0038,191,149,42,0,False,False,False
9,U+0039,0,0,0,0,False,True,False
A,U+0041,168,144,24,0,False,False,False
B,U+0042,191,151,40,0,False,False,False
C,U+0043,162,132,30,0,False,False,False
D,U+0044,1,1,0,0,True,False,True
E,U+0045,178,141,37,0,False,False,False
F,U+0046,182,147,35,0,False,False,False
G,U+0047,194,141,53,0,False,False,False
H,U+0048,197,154,43,0,False,False,False
I,U+0049,0,0,0,0,False,True,False
J,U+004A,0,0,0,0,False,True,False
K,U+004B,176,146,30,0,False,False,False
L,U+004C,197,162,35,0,False,False,False
M,U+004D,189,151,38,0,False,False,False
N,U+004E,192,151,41,0,False,False,False
O,U+004F,0,0,0,0,False,True,False
P,U+0050,168,146,22,0,False,False,False
Q,U+0051,193,152,41,0,False,False,False
R,U+0052,163,131,32,0,False,False,False
S,U+0053,180,147,33,0,False,False,False
T,U+0054,222,182,40,0,False,False,False
U,U+0055,0,0,0,0,False,True,False
V,U+0056,0,0,0,0,False,True,False
W,U+0057,204,158,46,0,False,False,False
X,U+0058,206,165,41,0,False,False,False
Y,U+0059,176,149,27,0,False,False,False
Z,U+005A,198,148,50,0,False,False,False
a,U+0061,184,142,42,0,False,False,False
b,U+0062,178,141,37,0,False,False,False
c,U+0063,40,33,7,0,False,False,False
d,U+0064,186,146,40,0,False,False,False
e,U+0065,188,150,38,0,False,False,False
f,U+0066,3,2,1,0,True,False,False
g,U+0067,0,0,0,0,False,True,False
h,U+0068,0,0,0,0,False,True,False
i,U+0069,0,0,0,0,False,True,False
j,U+006A,0,0,0,0,False,True,False
k,U+006B,1,1,0,0,True,False,True
l,U+006C,1,1,0,0,True,False,True
m,U+006D,0,0,0,0,False,True,False
n,U+006E,0,0,0,0,False,True,False
o,U+006F,0,0,0,0,False,True,False
p,U+0070,28,22,6,0,False,False,False
q,U+0071,0,0,0,0,False,True,False
r,U+0072,155,127,28,0,False,False,False
s,U+0073,0,0,0,0,False,True,False
t,U+0074,1,1,0,0,True,False,True
u,U+0075,0,0,0,0,False,True,False
v,U+0076,0,0,0,0,False,True,False
w,U+0077,1,1,0,0,True,False,True
x,U+0078,1,1,0,0,True,False,True
y,U+0079,1,1,0,0,True,False,True
z,U+007A,1,1,0,0,True,False,True
