dataset_version,manifest_version,source,source_role,path,label,split,valid,related_group,sha256,perceptual_hash,width,height,image_format
143bbe9d6e498ae523d890f7da88ca35c6e54df33961984a31e21823b03f331f,1,batch_0,development,data/batch_0/captcha_00000.png,TAGbCN,train,True,group-b9b597277317c4cf,28dc56d27248cd3f5f887836cd477f7e5dcabe0413ae81096df9818b37f907c2,958ae2740f0bf8f4,151,41,PNG
143bbe9d6e498ae523d890f7da88ca35c6e54df33961984a31e21823b03f331f,1,batch_0,development,data/batch_0/captcha_00001.png,rrAZHS,validation,True,group-17e3b4eada27d29c,1065ede225e42d53e8cfa33ca5c244f2558f4cad0a8a708f64ed8bed7b5e1ae2,f1cc8733985764b1,151,41,PNG
143bbe9d6e498ae523d890f7da88ca35c6e54df33961984a31e21823b03f331f,1,batch_0,development,data/batch_0/captcha_00002.png,G3HPAM,train,True,group-50589dee45fa7108,bd34e2a67789a116b192dbc9dab32aaa6fcd0fc0d04457a90d8c0bedf6a025fb,dd4baab6545470aa,151,41,PNG
143bbe9d6e498ae523d890f7da88ca35c6e54df33961984a31e21823b03f331f,1,batch_0,development,data/batch_0/captcha_00003.png,d2M4KZ,train,True,group-91702d34991c5f33,0ad88350e11d2ed364b08a3bf38df52fccbe4501975a5411e596d32fdaf636db,e9c986367bb09c4c,151,41,PNG
143bbe9d6e498ae523d890f7da88ca35c6e54df33961984a31e21823b03f331f,1,batch_0,development,data/batch_0/captcha_00004.png,PQMXRe,train,True,group-bf5da9965834ca07,1c6acafcc58e4a898b83de9a7a1c96c02f19f37dcc7283f5767e90a10f88514c,a5c7de380f66419c,151,41,PNG
143bbe9d6e498ae523d890f7da88ca35c6e54df33961984a31e21823b03f331f,1,batch_0,development,data/batch_0/captcha_00005.png,3L4HY3,train,True,group-4f4a88166422e179,b258eba6021d142dd87331f18bde1a76bcdbd71bb800deb131852101d46a6d1c,c7e9d8163416bec1,151,41,PNG
143bbe9d6e498ae523d890f7da88ca35c6e54df33961984a31e21823b03f331f,1,batch_0,development,data/batch_0/captcha_00006.png,KER783,train,True,group-dfb11829e23ecfed,1ce0b34179759986c280adfcb81c7fd750bebdaac83528646e86f306897380ec,99f8c6007c3f78c3,151,41,PNG
143bbe9d6e498ae523d890f7da88ca35c6e54df33961984a31e21823b03f331f,1,batch_0,development,data/batch_0/captcha_00007.png,aFXLPE,train,True,group-3ff2385ba7ddb8ff,ebf2c80528c94cefcd4904ec46d94a2a47569a5520587f6fc74c5baf9fb0b7ed,f242ddbc360d89b1,151,41,PNG
143bbe9d6e498ae523d890f7da88ca35c6e54df33961984a31e21823b03f331f,1,batch_0,development,data/batch_0/captcha_00008.png,4FGL3Z,train,True,group-79027feb70f5159f,92ebea43d8b319acf81eb17f89ace875914806616e41ec31a5e67b4ec7c9221d,8b16e8e924ab334f,151,41,PNG
143bbe9d6e498ae523d890f7da88ca35c6e54df33961984a31e21823b03f331f,1,batch_0,development,data/batch_0/captcha_00009.png,TPARLC,train,True,group-8adcac939761cfe3,33a39b5f21a87087af4505838aba926db110c18833c34357851ea470672855cf,e6c0d93b2a9656e2,151,41,PNG
143bbe9d6e498ae523d890f7da88ca35c6e54df33961984a31e21823b03f331f,1,batch_0,development,data/batch_0/captcha_00010.png,WrA5rH,train,True,group-e1916ecf1a9a7410,b6335edca62be2f8115e1abf5e4aa05a406d0d7aae86d1b68d4357261927bfd4,84eeb9094eb26679,151,41,PNG
143bbe9d6e498ae523d890f7da88ca35c6e54df33961984a31e21823b03f331f,1,batch_0,development,data/batch_0/captcha_00011.png,ZeWaBb,train,True,group-6114528ef163a6ac,3c2748c0a9511cbb8e500282af1f9cd862f4b7f7f44d8da762f3648cac8d17c8,bbf1844e5b034ccd,151,41,PNG
143bbe9d6e498ae523d890f7da88ca35c6e54df33961984a31e21823b03f331f,1,batch_0,development,data/batch_0/captcha_00012.png,TAW46A,train,True,group-fea01e667a23c84b,e3b54faf77e81411a464e8c3086080af60b80951b098c49cd018220e75ec44a3,abb4c94a3769dc0c,151,41,PNG
143bbe9d6e498ae523d890f7da88ca35c6e54df33961984a31e21823b03f331f,1,batch_0,development,data/batch_0/captcha_00013.png,W2RYQB,train,True,group-ed86d6d9ae43a6db,637cdcaf1d8f2afeee5c8ba0dc66ac360fd662b7bf41e15f158b0c96b897ae49,95f9aa067c9641e9,151,41,PNG
143bbe9d6e498ae523d890f7da88ca35c6e54df33961984a31e21823b03f331f,1,batch_0,development,data/batch_0/captcha_00014.png,PMLYT8,train,True,group-f70ea71493cc4f45,e020281c2cd9792ebdb702e9661d42d86afe7050aa813954a28e14da5369422b,d544a2ba5cc963d6,151,41,PNG
143bbe9d6e498ae523d890f7da88ca35c6e54df33961984a31e21823b03f331f,1,batch_0,development,data/batch_0/captcha_00015.png,BRaA3N,train,True,group-65cb46bdce01fd7d,1a7e9ad3cc8a2f03da9a84281f662716da911fc1dec1c0f7f5c4d3a20388319a,9e42adbd63b4811d,151,41,PNG
143bbe9d6e498ae523d890f7da88ca35c6e54df33961984a31e21823b03f331f,1,batch_0,development,data/batch_0/captcha_00016.png,6Xd66X,validation,True,group-ffb570bcd284280b,f764fb48ebf880cd7d2d79d42660666bbb3225ed32bddc65c8306f9afb6460d8,8cc3f79d0530e32e,151,41,PNG
143bbe9d6e498ae523d890f7da88ca35c6e54df33961984a31e21823b03f331f,1,batch_0,development,data/batch_0/captcha_00017.png,BBTPa4,train,True,group-8fc7479f79de6379,e3578447aa4afd866d56923ad74622e3ec01f4ce5b9e980ec192b447839f5afe,867d99926c4cee86,151,41,PNG
143bbe9d6e498ae523d890f7da88ca35c6e54df33961984a31e21823b03f331f,1,batch_0,development,data/batch_0/captcha_00018.png,7aHF5G,validation,True,group-38bb93a1d417fbd3,88237e9f9afd1680edb7bebf1a0a75dbb128c569bed783ab3cfe48a94e181758,d3a7dc7a334102cd,151,41,PNG
143bbe9d6e498ae523d890f7da88ca35c6e54df33961984a31e21823b03f331f,1,batch_0,development,data/batch_0/captcha_00019.png,a3LF65,train,True,group-fe433ccf85b6ef3e,8f4d283057a5a510463cb4fe2c14c3d2e2ea278287c5f0efdf72d186616868f7,d4e7ab186c7641ac,151,41,PNG
143bbe9d6e498ae523d890f7da88ca35c6e54df33961984a31e21823b03f331f,1,batch_0,development,data/batch_0/captcha_00020.png,8QNGb2,train,True,group-0954d139d7a3bb01,5401cd8069c700452094fde21225257aff20bb4a9560c8aaa1cea154373d8482,b791e86e0bacc307,151,41,PNG
143bbe9d6e498ae523d890f7da88ca35c6e54df33961984a31e21823b03f331f,1,batch_0,development,data/batch_0/captcha_00021.png,EXAd3C,train,True,group-3b861111cb969c9a,ca234a8612ddae08dfa04414dc7e5b339a6bbeb14ae09dd0f6b211b79b3c327a,93c5fc320155d6f8,151,41,PNG
143bbe9d6e498ae523d890f7da88ca35c6e54df33961984a31e21823b03f331f,1,batch_0,development,data/batch_0/captcha_00022.png,eRLHaF,train,True,group-b739a5e2f5e34108,7c71b06326a4e0755fdf8a28c22e49c35a3e6c20e5641569444b51b25100f4b2,bed3e12d4b3418c6,151,41,PNG
143bbe9d6e498ae523d890f7da88ca35c6e54df33961984a31e21823b03f331f,1,batch_0,development,data/batch_0/captcha_00023.png,B3HKET,train,True,group-10370f1ac4d1caac,51ade8b1bc360ba28bfbbeace6c93e946d6dc514d4f7a458bb1b35013fb1750a,9391ec6653d52b2a,151,41,PNG
143bbe9d6e498ae523d890f7da88ca35c6e54df33961984a31e21823b03f331f,1,batch_0,development,data/batch_0/captcha_00024.png,TG3R68,validation,True,group-c86b3b3c1dc8cbce,6768fdafb2c2515cd13f8853caef9837af1ca2037758a4a5725425cee7521565,cb9cb4690903f6f4,151,41,PNG
143bbe9d6e498ae523d890f7da88ca35c6e54df33961984a31e21823b03f331f,1,batch_0,development,data/batch_0/captcha_00025.png,8eGLe6,train,True,group-49cfe7ca451a4bbe,d50a3b109d9585a2c09fe71e74756ec21463a9488ff085ce661146a496860e84,935bec8477190cec,151,41,PNG
143bbe9d6e498ae523d890f7da88ca35c6e54df33961984a31e21823b03f331f,1,batch_0,development,data/batch_0/captcha_00026.png,TG2eSK,validation,True,group-cb3db82421f0bea7,6fc8fc96e02981c779aa6e21be550527e06ad5d76da2acd47d23b05b23a9d971,dbbce5420a5375a8,151,41,PNG
143bbe9d6e498ae523d890f7da88ca35c6e54df33961984a31e21823b03f331f,1,batch_0,development,data/batch_0/captcha_00027.png,4NSbLL,train,True,group-3ecf92088bbe7ec9,88cc58be5c59b9e997cee43c760128499c6afe24c66ca5cbed1fe3058a9d6239,9b43c4fc59d424ab,151,41,PNG
143bbe9d6e498ae523d890f7da88ca35c6e54df33961984a31e21823b03f331f,1,batch_0,development,data/batch_0/captcha_00028.png,XNEZ36,validation,True,group-16a0b2b7c0569650,160304cb87929f0e68be2ae26a394cbb4a32e1d8887ed74309da290ea5155d19,ec639d9e43960939,151,41,PNG
143bbe9d6e498ae523d890f7da88ca35c6e54df33961984a31e21823b03f331f,1,batch_0,development,data/batch_0/captcha_00029.png,P58Sr7,train,True,group-bcf665e8c050dbcb,d93026f1756c0f0657720549edb2616df23b7d31a87c3945ed11a378f6bec12a,b4e68e114f719b8c,151,41,PNG
143bbe9d6e498ae523d890f7da88ca35c6e54df33961984a31e21823b03f331f,1,batch_0,development,data/batch_0/captcha_00030.png,H6NFQ6,train,True,group-72343de01be53fb0,2c642bf6fe551ca9344dc7d18589d76a943a0155f727e5e57e57cddcaca8d59b,ba0fc6f23c970748,151,41,PNG
143bbe9d6e498ae523d890f7da88ca35c6e54df33961984a31e21823b03f331f,1,batch_0,development,data/batch_0/captcha_00031.png,rFeCKP,train,True,group-cf8341698f6c4f82,285f99f52d3703635c4eb98be0a82b53d85e160b4a1230d1f3f0d16f94376e36,de5fdda4332124c1,151,41,PNG
143bbe9d6e498ae523d890f7da88ca35c6e54df33961984a31e21823b03f331f,1,batch_0,development,data/batch_0/captcha_00032.png,TNHBG3,train,True,group-b4b590aaf32361eb,290ab7b7c7d1742a93800cb96989e8996ae31de258e9034a5b4270212bae813f,96b3e96c340717e1,151,41,PNG
143bbe9d6e498ae523d890f7da88ca35c6e54df33961984a31e21823b03f331f,1,batch_0,development,data/batch_0/captcha_00033.png,4MWHN3,validation,True,group-7beab0c9dbd72aa1,8ad51b89f393d0674f415832115e746a335265d09dc2e4902fe00b612beb652f,b5a6c61908463bf7,151,41,PNG
143bbe9d6e498ae523d890f7da88ca35c6e54df33961984a31e21823b03f331f,1,batch_0,development,data/batch_0/captcha_00034.png,GY4SbZ,validation,True,group-9406465ffa3cfce4,8d395dfcff541abb8e82e3c39d3d0d275f652e02ba716128edb9a4f37dc8b7cc,95798a86eaa35d54,151,41,PNG
143bbe9d6e498ae523d890f7da88ca35c6e54df33961984a31e21823b03f331f,1,batch_0,development,data/batch_0/captcha_00035.png,EEFK35,train,True,group-d902b3fca19e03f7,e7d3f1cddd01bdea3e11a9dbdc4843e8afffef1ee091c391c128d25c33805d50,a6f4d90f6ec8910e,151,41,PNG
