character,support,predicted,true_positives,precision,recall,f1
2,33,33,33,1.00000000,1.00000000,1.00000000
3,39,39,39,1.00000000,1.00000000,1.00000000
4,42,42,42,1.00000000,1.00000000,1.00000000
5,36,36,36,1.00000000,1.00000000,1.00000000
6,35,35,34,0.97142857,0.97142857,0.97142857
7,36,36,36,1.00000000,1.00000000,1.00000000
8,42,42,42,1.00000000,1.00000000,1.00000000
A,24,24,24,1.00000000,1.00000000,1.00000000
B,40,40,39,0.97500000,0.97500000,0.97500000
C,30,24,24,1.00000000,0.80000000,0.88888889
D,0,0,0,,,
E,37,37,37,1.00000000,1.00000000,1.00000000
F,35,35,35,1.00000000,1.00000000,1.00000000
G,53,52,52,1.00000000,0.98113208,0.99047619
H,43,43,43,1.00000000,1.00000000,1.00000000
K,30,30,30,1.00000000,1.00000000,1.00000000
L,35,36,35,0.97222222,1.00000000,0.98591549
M,38,38,38,1.00000000,1.00000000,1.00000000
N,41,41,41,1.00000000,1.00000000,1.00000000
P,22,26,21,0.80769231,0.95454545,0.87500000
Q,41,41,41,1.00000000,1.00000000,1.00000000
R,32,32,32,1.00000000,1.00000000,1.00000000
S,33,33,33,1.00000000,1.00000000,1.00000000
T,40,40,40,1.00000000,1.00000000,1.00000000
W,46,46,46,1.00000000,1.00000000,1.00000000
X,41,41,41,1.00000000,1.00000000,1.00000000
Y,27,27,27,1.00000000,1.00000000,1.00000000
Z,50,50,50,1.00000000,1.00000000,1.00000000
a,42,41,41,1.00000000,0.97619048,0.98795181
b,37,38,37,0.97368421,1.00000000,0.98666667
c,7,13,7,0.53846154,1.00000000,0.70000000
d,40,40,39,0.97500000,0.97500000,0.97500000
e,38,38,38,1.00000000,1.00000000,1.00000000
f,1,1,1,1.00000000,1.00000000,1.00000000
k,0,0,0,,,
l,0,0,0,,,
p,6,2,1,0.50000000,0.16666667,0.25000000
r,28,28,28,1.00000000,1.00000000,1.00000000
t,0,0,0,,,
w,0,0,0,,,
x,0,0,0,,,
y,0,0,0,,,
z,0,0,0,,,
